Area-Year,Predicted Export Value (USD),Actual Export Value (USD)
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Albania-2020,95343.77,114093.03000000001
Albania-2021,63829.0,113673.3599999999
Albania-2022,60684.0,163513.95000000004
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Algeria-2020,276082.44,497724.9199999996
Algeria-2022,3166.324,478329.00999999954
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Angola-2020,22919.021,20026.080000000013
Angola-2021,8554.466,16488.959999999995
Angola-2022,18337.156,26898.459999999977
Antigua and Barbuda-2020,19120.068,233.44000000000008
